GROUP 1,GROUP 2,GROUP 3,GROUP 4,GROUP 5,GROUP 6,GROUP 7
GROUP 1,GROUP 2,GROUP 3,GROUP 4,GROUP 5,GROUP 6,GROUP 7
0x7476c125d83ded2777bdf437eb1c133368c01330 <-> 0x87c5bd8d5e8c1667b86e4ee8fa60bd9cd70bca87 <-> 0x5b441f7ccf29ef51494008cbab224ffd45e153b2 <-> 0x6a269815ac6f094b25be5de18fbb0b2b04823358 <-> 0x7e869dadf3632fbb5c8feaaa0672807d87c6bf13 <-> 0xa398a2c62eeb4c7024ac2f36eb1cb4d870414362 <-> 0x6da0c6a8889089c9e466be8699992f19f0e18e3d <-> 0x921ec2c2b5a67066c8870c02c55c55ef6b1f7fde <-> 0x9246171854852536c8bc008776eb66faf35f8f4a <-> 0x88711825ef687d5cb9d86aba79b827a929f8060e <-> 0x626c408da748df58d844aa811aa83501556c10d1 <-> 0xa0fae158cd5a1cb3a36c474a2d2591c62571fc8a <-> 0x6a7f3292ddddca4e5cc9b7c82c801137fcac5490,0x82b601d2a2ae312ddc3a1c31ef86d5662a51af36 <-> 0x64efa51222cfa21215011029d4ebf39b59f0bb70 <-> 0x7bd7287f00922e5f573d8575f8a23adabe8c7588 <-> 0x8c2e4c5f20b0a0cce314aad725a390e254577bd0 <-> 0x790ea37af97f3b21bcfdc8d9ea8a1ed3ec05b6ef <-> 0xa6d7ec2dbc6a7b3921d81d626ca8e5f76a0c94d1 <-> 0x67043a94725e91429577278f9af95326720ea051 <-> 0x5d80de5c12858233d2e9a955c6604b6ce327dc32 <-> 0x7a0ea4aeb66411f76d0d8298bc074e45ebdfe15d <-> 0x77c3db040f79ae46a91529a667c03ab484b37116 <-> 0x558da052f27ea5fcf15b17d6a0c2b0d227e0ed49 <-> 0x584abc5b9434ec986529f77dba9ab7f58b415c8c <-> 0x58b699fc551314282126fff02b62d2f3e71d8723 <-> 0xa02306eb1de5e47e763d2065d53d55e386d0239c <-> 0x7dff93fce783b91f347ce7ba7181ca4a02ea9de0 <-> 0x6833c9040bcff71c3d7f8f3e84d3ae4f654f9b86,0x7ba9e03c2415214586e6a465a3db9edf9f0e70e6 <-> 0x93157af806d22be843c049881629e3312ad134ef <-> 0x6556a24a1a58d34e2433af814a5cbb3839b82b36 <-> 0x8b9b2035e6353787b8e44d97a70bd898afc441af <-> 0x66e2d28c6ee638346e40b3270665bd55b2d8e773 <-> 0x5ef8037cb456061d3dfd2ec386134a51066b6f07 <-> 0x61fa456abd066ba512fa984dabb8efbd329f816d <-> 0x8b06dbdd6d48b75a31eccf278b60894fbafd2a4b <-> 0xa2cf5a857aad88adc71ccd2864aa9f83977427f6 <-> 0x73452ea179a405795ccbab059176aa4342a1be57 <-> 0x87d515af98dee70b36992586fa71112c3a00e9bb <-> 0x5f4dac69830cceaed8370deeb3762e542166ab17 <-> 0x8dcd1f079f0e4404ed2c07d75717c8cd475de332 <-> 0x63ba306d91d5ab9d45c66dc9ad70b8cb81f6c278,0x9f3869f3a345594ceb3a4a4989f4d56b66958f9d <-> 0x5721f7cce304af43ab8ed25e9448534a60cefdd9 <-> 0x58ec469e90488e7a47c99e4cc7bfc92f42395efc <-> 0x6e3d7462aa47d63dfda2c9e7421b4e2ad3066a35 <-> 0x98624dee43ccc03b74f48e256456cbfb52d5828f <-> 0x8f321073068ab803309d641f030df8b5ebbc915d <-> 0x83364d4489955eb34063d49625298fbfb8e7985d <-> 0x96e973621c2ccb036eda5d73c9e3a2236c547ccf <-> 0x60294c5865b9b1f72fa9f7acc50675a0591e6533 <-> 0x80739c8bbb769c13d363663cd1d3a3ada786d938 <-> 0x6d006cf3e0a44df27644353f4d388c29e1ace5b8 <-> 0x77cc34de9ef3682387f3233787598a2be2898c3e <-> 0xa2491cd74db23f5742b64b03718d6b891879a8f0 <-> 0x65a13a97249455a4f894a3275afd63b1137f6fc0 <-> 0x94a3c53d28012a571d0f36c9a97993c9bff49edf <-> 0x9d71e1be1a06ab80a4737c5e7ceeaa1297947d37 <-> 0x65fd2b9f460d0acd964c44e3b93a1d74354dafb3,0x585a1da0d9884ff82eb538bef15ba7dbba9e8382 <-> 0x8ae1bd8a98eb772363157682f5238209276458be <-> 0x593176a04b6a4e3188abfb3e892d55671a0f6b56 <-> 0x774c6e8930ac08a1b00480135e0301e7967a1e22 <-> 0x9504937770fb216a9b0a34d9fbec8fdddb392ee3 <-> 0xa665a343a7dee34ccc6045aaf808a45d80e31d80 <-> 0x78022f272dcc0508b7d16883f8fa8c5702b62955 <-> 0x8c8578cb6ef972b978452b4f22b2677c97c18661 <-> 0x83cf5503402768415856fc629bd4f213e7effb43 <-> 0x65011e3ca5cd9e886a36d69ea52bab6ea126ebb4 <-> 0xa79efc23ada48bc2e57bf396e5ed5db9d37e6fb0 <-> 0x81c4a9a4f4ca1b0fe87c9ecc3fc855c64d781695 <-> 0x731111d4f903c913d4f1f83e0cd02067d3faa12f,0x593d2ecdd191541a4cabaabd79e440e880c4b7d3 <-> 0x889a14e6a2a9059444d7e0bf6faa607139196e0a <-> 0x57f502ebe3d7305c28e1d1f1247310affa3d5526 <-> 0x6235f52bf8f264e2356e10d74b74bbf31e660b1f <-> 0xa9f443a9a0034ce599560371d3627400b5a15012 <-> 0x8acd64e04716eace688152490902cc3f65895346 <-> 0x8a7dc9a0c5779a695edddae4c6d18183fafd6b8d <-> 0x7f6d6068325d9193ebcbc7eefa8b78faf33a4594 <-> 0x9f1be87d754b90db7b91baf665938e0746868b78 <-> 0x60c3deec36baeb78a5227f239f3fdf5f2cbb41cf <-> 0x8c3a50426a5b03ccce9591eb57457ec852420b0b <-> 0x77a14cfac4de8bfbb3a5c69a46742b12b583bffd <-> 0x84d42f6a94c9601836942b9e95a8f634c77a91ec <-> 0x56369b633cd6d0a2046b435cfaad0107d286a5d8,0xa64f2228ccec96076c82abb903021c33859082f8 <-> 0x6ac6505342aade7461e535b745c419e069526d14 <-> 0x6cde102aa34d4da9a266f2f0080c889cd6c92748 <-> 0x5e55b240bada3a286724ef68ee6fe5c543d6465a <-> 0x550d0fec5209777465863b12ac60c040dd97f9a5 <-> 0x71503c9d3fc8da244576c736b4f8c5972d937b31 <-> 0x5c54868adeb2cae0f0e6aa2e7610dcf9b0b06ed0 <-> 0x65ae75ef8c5e7fdde20eecdb14ec1f7a53258f53 <-> 0x9ae494fbac34682c122a1d4e3d6ae1eb5404a469 <-> 0x6d0ca44ede0818b4524c838f8175035f79d49bdc <-> 0x826976d7c600d45fb8287ca1d7c76fc8eb732030 <-> 0x6abade6569f03841a0d5233d23f175eeeb3253c4 <-> 0x85f736d5af98dc8d09745028f7e182bf81ae639f <-> 0x6c965b656c450259a6d4d95a2e68fb4319eecbc0 <-> 0x71a50dd2cadce18a41c4e56b457336713dddb3b4 <-> 0x7fb610713c8404e21676c01c271bb662df6eb63c <-> 0x68dcba93b512a0de773625340eb1c3c67bb19ef3 <-> 0x93bd46791ae02bb51a9a8974d321236ac3335369 <-> 0x5ce561e048d2cd64523d6316228f97bd2537f92f <-> 0x9045a4d097f03f34f515a3b3e7b2fd889dd2abb7 <-> 0x6dfdca1107c5af4b92948625105e1e87ba9b21b4 <-> 0x70f213d5df2f913125166c203b1f952bdc13b6a5 <-> 0xa9ccd6b0919e43fd7cfc990572e43c3cf6a17397 <-> 0x79bd8fce0c6de4bb07584472dd0251da18eb8834 <-> 0x58c67b6fc7b96f7f83e023e2beb7f641febc6270 <-> 0x6fd69ae1f7d2b2d537814156744786344c37348b <-> 0x9924285ff2207d6e36642b6832a515a6a3aedcab <-> 0xa331a2e72b75176c36f4e878c99f3e0585f77dc5 <-> 0x5ac583feb2b1f288c0a51d6cdca2e8c814bfe93b <-> 0x5cb4db7c9f48a97115e8ada31d0e974f36d8fd49 <-> 0x6d03cbc95172c140cbcd06d16f6c8c29e322c14e <-> 0x7326b0d5ba05bb1db17298a0283ab1d3269adeb2 <-> 0x818625b467b04416e41be4364f1eb48e0eec7400 <-> 0xa7e063e7d94fcc4b25ddf899bdc7c269ae6a1558 <-> 0x7d9ab478df690d523f3b419874b5ee0da3963924 <-> 0x8f48094a12c8f99d616ae8f3305d5ec73cbaa6b6 <-> 0x9a760aa1fe631fd9ac0aee0965736121c7c132cc <-> 0x6d26f4a4eb3b4c6cdb48837f0cd67298cdbe6e5f <-> 0x861fe68b2ed28f609c08f66a1c0bcc940b9bdc80
"hash: ""0x7b14db5af3ad66f4907e070583b71e56361551d5fef30f22e29f55cc797ad1b1"" from: ""0x7e869dadf3632fbb5c8feaaa0672807d87c6bf13"" to: ""0x87c5bd8d5e8c1667b86e4ee8fa60bd9cd70bca87"" tokenSymbol: ""XDAI"" value: ""221.0""","hash: ""0xb2080e15c3ae41497a2e9afda0b483b4689d6e6f8b195ad45ca78a5e5fb5e71c"" from: ""0x77c3db040f79ae46a91529a667c03ab484b37116"" to: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" tokenSymbol: ""XDAI"" value: ""3.0""","hash: ""0x0e432a40795b48352546b110fad77dd549c3c20a9d5090f91c0d2a146ace4594"" from: ""0x8b06dbdd6d48b75a31eccf278b60894fbafd2a4b"" to: ""0x73452ea179a405795ccbab059176aa4342a1be57"" tokenSymbol: ""XDAI"" value: ""0.05""","hash: ""0x6b133613da3337565dfac6b168704a0b8bf4532531791c1b0246327538b5c584"" from: ""0x77cc34de9ef3682387f3233787598a2be2898c3e"" to: ""0x6d006cf3e0a44df27644353f4d388c29e1ace5b8"" tokenSymbol: ""XDAI"" value: ""219.0057704424532""","hash: ""0xabbe80eaef212a66478c7d5885ee8f883fd7001e6f4a4921a7569f6399493303"" from: ""0x9504937770fb216a9b0a34d9fbec8fdddb392ee3"" to: ""0x65011e3ca5cd9e886a36d69ea52bab6ea126ebb4"" tokenSymbol: ""XDAI"" value: ""818.0""","hash: ""0x51c37fe5cc9e54a8c93da5fe3320f9e72bcbb410b087a119c5c285fbe6c31eaf"" from: ""0x8acd64e04716eace688152490902cc3f65895346"" to: ""0x7f6d6068325d9193ebcbc7eefa8b78faf33a4594"" tokenSymbol: ""XDAI"" value: ""10.0""","hash: ""0x3ca13a13150bcc9977c721451a34965f062943b2462961882c51e339ff92f34b"" from: ""0x93bd46791ae02bb51a9a8974d321236ac3335369"" to: ""0x9a760aa1fe631fd9ac0aee0965736121c7c132cc"" tokenSymbol: ""XDAI"" value: ""9.135e-07"""
"hash: ""0xc0ead10d945abb6f184f1e9f0b46c78ea517d40a1f59c165a6078e215505dfdc"" from: ""0x7e869dadf3632fbb5c8feaaa0672807d87c6bf13"" to: ""0x87c5bd8d5e8c1667b86e4ee8fa60bd9cd70bca87"" tokenSymbol: ""XDAI"" value: ""2.0""","hash: ""0xe0e9517da7eebaeb044f0b9917772628bd1da047d6434c045092322ae111b825"" from: ""0x77c3db040f79ae46a91529a667c03ab484b37116"" to: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" tokenSymbol: ""XDAI"" value: ""1020.0""","hash: ""0xf2af5ea093b590719ea39234c105e5fcd6afc6c7077691b8b3d63b43b32463e1"" from: ""0xa2cf5a857aad88adc71ccd2864aa9f83977427f6"" to: ""0x5f4dac69830cceaed8370deeb3762e542166ab17"" tokenSymbol: ""XDAI"" value: ""318.0""","hash: ""0x4a978b271040ae9b98596238ae0cb5f789bfe1444e6565869c892283726d3105"" from: ""0x6d006cf3e0a44df27644353f4d388c29e1ace5b8"" to: ""0x60294c5865b9b1f72fa9f7acc50675a0591e6533"" tokenSymbol: ""XDAI"" value: ""0.000596935533073351""","hash: ""0xded1dae81f8854066f8fe1bcb63455b47673a881ffe2e0f52527bd410e2b482a"" from: ""0x731111d4f903c913d4f1f83e0cd02067d3faa12f"" to: ""0x9504937770fb216a9b0a34d9fbec8fdddb392ee3"" tokenSymbol: ""XDAI"" value: ""100.0""","hash: ""0x25e65115b906e18eb20dee16ec6d6f433ef84474c218043376262773cc49acc5"" from: ""0x8acd64e04716eace688152490902cc3f65895346"" to: ""0x7f6d6068325d9193ebcbc7eefa8b78faf33a4594"" tokenSymbol: ""XDAI"" value: ""280.0""","hash: ""0x71c36c2234a1eaceb9332f40ce16d3d4f02b8ce9f80f66807e1e5d56528c8398"" from: ""0x93bd46791ae02bb51a9a8974d321236ac3335369"" to: ""0x9a760aa1fe631fd9ac0aee0965736121c7c132cc"" tokenSymbol: ""XDAI"" value: ""4.109e-07"""
"hash: ""0x27fcc4659b6e4080f44fea0141f36ab34b896ad2f9df7a50f30c299f9bc4682a"" from: ""0x87c5bd8d5e8c1667b86e4ee8fa60bd9cd70bca87"" to: ""0x7e869dadf3632fbb5c8feaaa0672807d87c6bf13"" tokenSymbol: ""XDAI"" value: ""39.502817681""","hash: ""0x0ebfd68555b3ea3f5cdda5c3278c584229033c4df746b0621746576d776c98d3"" from: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" to: ""0x82b601d2a2ae312ddc3a1c31ef86d5662a51af36"" tokenSymbol: ""XDAI"" value: ""1.0""","hash: ""0xc0820917ae284d4ed5dd6e0cc14d793b6d1c7cac15327ecbf2f4e4c95c0c3d77"" from: ""0x8dcd1f079f0e4404ed2c07d75717c8cd475de332"" to: ""0x66e2d28c6ee638346e40b3270665bd55b2d8e773"" tokenSymbol: ""XDAI"" value: ""692.0293529190723""","hash: ""0x0f7a5bee3c14bf6ffe38abfe90cbe66e4227f9dc7f78a373dbfcdd15ca6b906c"" from: ""0x6d006cf3e0a44df27644353f4d388c29e1ace5b8"" to: ""0x77cc34de9ef3682387f3233787598a2be2898c3e"" tokenSymbol: ""XDAI"" value: ""2.925308705897127""","hash: ""0x8f5e703ef4f7f4ecb4b805961e9266584fbf6fbf450e69656e9b578c7558029f"" from: ""0x65011e3ca5cd9e886a36d69ea52bab6ea126ebb4"" to: ""0x9504937770fb216a9b0a34d9fbec8fdddb392ee3"" tokenSymbol: ""XDAI"" value: ""10.0""","hash: ""0x9cdf612b2a0be21c44bbb16f0a9be3feb07d016e0d18402bf9abe129235b1e65"" from: ""0x8acd64e04716eace688152490902cc3f65895346"" to: ""0x7f6d6068325d9193ebcbc7eefa8b78faf33a4594"" tokenSymbol: ""XDAI"" value: ""202.0""","hash: ""0x9dbba320268d8d1343bac861879662a750ced1be760ba030af6e91e019099364"" from: ""0x9924285ff2207d6e36642b6832a515a6a3aedcab"" to: ""0xa9ccd6b0919e43fd7cfc990572e43c3cf6a17397"" tokenSymbol: ""XDAI"" value: ""17.0"""
"hash: ""0x3b791edbbfa2044ce2b9d09bfe1e270a63e2887bd363bfc2dc81c3c41dd0eacb"" from: ""0x6da0c6a8889089c9e466be8699992f19f0e18e3d"" to: ""0x87c5bd8d5e8c1667b86e4ee8fa60bd9cd70bca87"" tokenSymbol: ""XDAI"" value: ""200.0""","hash: ""0x8c04529cb513ff3fb9cd1744cd8411e88dcc4bbdae8598b6ad55ee8380f3c29b"" from: ""0x82b601d2a2ae312ddc3a1c31ef86d5662a51af36"" to: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" tokenSymbol: ""XDAI"" value: ""68.0""","hash: ""0xe797150139169ed1929449cdd3102c548759347ae7d4d19461cce0e4bf57cf1d"" from: ""0x93157af806d22be843c049881629e3312ad134ef"" to: ""0x66e2d28c6ee638346e40b3270665bd55b2d8e773"" tokenSymbol: ""XDAI"" value: ""0.01""","hash: ""0xa88346296886a543f152b33ecc84bfa062377f8a7e8a285715d7039a2ec9b4a0"" from: ""0x9f3869f3a345594ceb3a4a4989f4d56b66958f9d"" to: ""0x58ec469e90488e7a47c99e4cc7bfc92f42395efc"" tokenSymbol: ""XDAI"" value: ""209.34391383051747""","hash: ""0x76ddc640f921439334d24a786de132ace1459f851f23afbcb3cbd5cf0a252d36"" from: ""0x8c8578cb6ef972b978452b4f22b2677c97c18661"" to: ""0x9504937770fb216a9b0a34d9fbec8fdddb392ee3"" tokenSymbol: ""XDAI"" value: ""20.0""","hash: ""0x2f9b90ef937ef35df9cf79f24b664a5a1d92ec19eac46c3c584bdd10f0057dd0"" from: ""0x8acd64e04716eace688152490902cc3f65895346"" to: ""0x7f6d6068325d9193ebcbc7eefa8b78faf33a4594"" tokenSymbol: ""XDAI"" value: ""258.0""","hash: ""0xa4b646bc157614921492428e1dbd7a96c77b6fad43fc6b1cff7f4beb9d7f5f73"" from: ""0x6c965b656c450259a6d4d95a2e68fb4319eecbc0"" to: ""0x861fe68b2ed28f609c08f66a1c0bcc940b9bdc80"" tokenSymbol: ""XDAI"" value: ""1.0"""
"hash: ""0xe3e74eb556008530e7a53066478fc6a02676a33c789471fd1f961207b98edd93"" from: ""0x7476c125d83ded2777bdf437eb1c133368c01330"" to: ""0x87c5bd8d5e8c1667b86e4ee8fa60bd9cd70bca87"" tokenSymbol: ""XDAI"" value: ""35.0""","hash: ""0xd9fcec1cbeff6b221f91fd33486ce7991c7cd7abbc39bb01c4954cb1941bfb12"" from: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" to: ""0x6833c9040bcff71c3d7f8f3e84d3ae4f654f9b86"" tokenSymbol: ""XDAI"" value: ""0.079""","hash: ""0x6ee5330939517115fc52331d8a22c46a31f0d71d80cb8e1cf259e25e8f72b40f"" from: ""0x93157af806d22be843c049881629e3312ad134ef"" to: ""0x66e2d28c6ee638346e40b3270665bd55b2d8e773"" tokenSymbol: ""XDAI"" value: ""1.0""","hash: ""0x015dbc63e35440464294b4b575c9380686ea1b9e3b12dae8111abf41216dd598"" from: ""0x58ec469e90488e7a47c99e4cc7bfc92f42395efc"" to: ""0x60294c5865b9b1f72fa9f7acc50675a0591e6533"" tokenSymbol: ""XDAI"" value: ""0.003712425517321135""","hash: ""0x37155b60f912c3b5b14721d2cc4fa20f1a595adb6ff22ba78bda00502d3485f1"" from: ""0x9504937770fb216a9b0a34d9fbec8fdddb392ee3"" to: ""0x8c8578cb6ef972b978452b4f22b2677c97c18661"" tokenSymbol: ""XDAI"" value: ""2.0""","hash: ""0x4a846d40514fa95f9f0bfdfb34a63b83a9573b13ad3c5bf99d5268756c19ab90"" from: ""0x7f6d6068325d9193ebcbc7eefa8b78faf33a4594"" to: ""0x8a7dc9a0c5779a695edddae4c6d18183fafd6b8d"" tokenSymbol: ""XDAI"" value: ""10.860590915399456""","hash: ""0x84e1f0166b74f700106d11441016e59ca38b0545b0d6eded3f482b01d1f572a6"" from: ""0x861fe68b2ed28f609c08f66a1c0bcc940b9bdc80"" to: ""0x6c965b656c450259a6d4d95a2e68fb4319eecbc0"" tokenSymbol: ""XDAI"" value: ""1.17"""
"hash: ""0xc8efafd84e1d3f5ed39b37f528b3d64b01608d2d8860b579956304ec5714e7ee"" from: ""0x6da0c6a8889089c9e466be8699992f19f0e18e3d"" to: ""0x7e869dadf3632fbb5c8feaaa0672807d87c6bf13"" tokenSymbol: ""XDAI"" value: ""487.01296836835525""","hash: ""0x018aed797cb2aabbb1ef2a655f2b9eda1a53093e7334a39d93cb0ca8bd2ee34c"" from: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" to: ""0x6833c9040bcff71c3d7f8f3e84d3ae4f654f9b86"" tokenSymbol: ""XDAI"" value: ""0.00079""","hash: ""0x997ae7d661f257185033cb9f8541b8f41ca965a1ba50c0fe946e5fb3b3f63653"" from: ""0x8dcd1f079f0e4404ed2c07d75717c8cd475de332"" to: ""0x66e2d28c6ee638346e40b3270665bd55b2d8e773"" tokenSymbol: ""XDAI"" value: ""588.0""","hash: ""0xcafadb50821c5a5c6e7ac5311b55873be803056b06c7fe3056bf6680f99f3f89"" from: ""0x58ec469e90488e7a47c99e4cc7bfc92f42395efc"" to: ""0x9f3869f3a345594ceb3a4a4989f4d56b66958f9d"" tokenSymbol: ""XDAI"" value: ""2.8991011793166774""","hash: ""0x680f391fa363a3999102e31778b7abd997397ca2f97fa376308805e021113fbf"" from: ""0x81c4a9a4f4ca1b0fe87c9ecc3fc855c64d781695"" to: ""0x731111d4f903c913d4f1f83e0cd02067d3faa12f"" tokenSymbol: ""XDAI"" value: ""903.6""","hash: ""0x6ad4f7f84d33925787c9e3a0992445b3b82da69195edcf970bfd415d14a48d62"" from: ""0x56369b633cd6d0a2046b435cfaad0107d286a5d8"" to: ""0xa9f443a9a0034ce599560371d3627400b5a15012"" tokenSymbol: ""XDAI"" value: ""186.0""","hash: ""0xd2da8fde8f01e7ec28e1d59245bb809f33fa5644cea9c36c720601ccb47e3772"" from: ""0x6c965b656c450259a6d4d95a2e68fb4319eecbc0"" to: ""0x861fe68b2ed28f609c08f66a1c0bcc940b9bdc80"" tokenSymbol: ""XDAI"" value: ""0.5"""
"hash: ""0x1906ceb3662154e33c167b4d1dcd6f1ce8d174b6bcc37f6a1e7cc62806e0846e"" from: ""0x7e869dadf3632fbb5c8feaaa0672807d87c6bf13"" to: ""0x7476c125d83ded2777bdf437eb1c133368c01330"" tokenSymbol: ""XDAI"" value: ""3.0""","hash: ""0x425e3a9af6d023c90c0cb703c5ddef26348acf2b879afe48689186e06f2151c5"" from: ""0x58b699fc551314282126fff02b62d2f3e71d8723"" to: ""0x6833c9040bcff71c3d7f8f3e84d3ae4f654f9b86"" tokenSymbol: ""XDAI"" value: ""8.42298e-05""","hash: ""0x302b8074758cb074970d6ded94e2234da553ad6e6df593e57bcbb10fe60e71b5"" from: ""0x8dcd1f079f0e4404ed2c07d75717c8cd475de332"" to: ""0x8b9b2035e6353787b8e44d97a70bd898afc441af"" tokenSymbol: ""XDAI"" value: ""0.02""","hash: ""0x590ef0621171312469af58851d9e5e4825e1517a4b01c286768dc08fc8e87148"" from: ""0x5721f7cce304af43ab8ed25e9448534a60cefdd9"" to: ""0x60294c5865b9b1f72fa9f7acc50675a0591e6533"" tokenSymbol: ""XDAI"" value: ""0.001173604606434225""","hash: ""0xe867240ec99a271392e3467bc84e0b34b757991b54a94da17a4a2064c4435c94"" from: ""0x731111d4f903c913d4f1f83e0cd02067d3faa12f"" to: ""0x774c6e8930ac08a1b00480135e0301e7967a1e22"" tokenSymbol: ""XDAI"" value: ""890.0""","hash: ""0x096d4c9afd96753a8af8a08daec61af7909fd672ac20603d77e18df35e4cf4a3"" from: ""0x56369b633cd6d0a2046b435cfaad0107d286a5d8"" to: ""0xa9f443a9a0034ce599560371d3627400b5a15012"" tokenSymbol: ""XDAI"" value: ""280.0""","hash: ""0x171c9bd50bb1e4d2fed644457d2fca8f9332779059aef14a98f607e917a79332"" from: ""0x6c965b656c450259a6d4d95a2e68fb4319eecbc0"" to: ""0x861fe68b2ed28f609c08f66a1c0bcc940b9bdc80"" tokenSymbol: ""XDAI"" value: ""0.4"""
